resp_ID,t_start,t_end,Status,p_ID,unique_qu_ID,erase,condition,exposure,room,view_access,exp_duration_original,exp_duration,light_level_sensation,visual_comfort,glare_Osterhaus,glare_binary,glare_branch_accept,glare_likert4,glare_reflection_screen_likert4,glare_agreement5,colors_outside_agreement5,view_satisfaction_interval10__5only,work_all_day_changes__30only,work_all_day_changes_WHAT,work_all_day_changes_WHY
179,29.06.21 16:39,29.06.21 16:49,Complete,342,342_NG_2_Blurr_q2,keep,NG,Exposure 2,BP 2229 (center of the building),no,About 30 minutes,30min,Slightly low,Comfortable,Noticeable,No,NA,Slightly,Not at all,Neither agree nor disagree,Strongly agree,NA,"Yes, I would like the following changes:",the white paper covering part of the window,"First of all, the room is already very white, so the white paper is hurting my eyes a bit. Also, it is much nicer to see what is happening on the other side of the window, that way you do not feel excluded from the outside."
180,02.07.21 16:47,02.07.21 16:50,Complete,343,343_G1_1_Blurr_q1,keep,G1,Exposure 1,BP 2229 (center of the building),no,About 5 minutes,05min,Just right,Comfortable,Noticeable,Yes,Just acceptable,Moderately,Not at all,Agree,Agree,3,NA,NA,NA
182,02.07.21 17:10,02.07.21 17:19,Complete,343,343_G1_1_Blurr_q2,keep,G1,Exposure 1,BP 2229 (center of the building),no,About 30 minutes,30min,Slightly low,Uncomfortable,Noticeable,No,NA,Slightly,Slightly,Neither agree nor disagree,Agree,NA,"Yes, I would like the following changes:",remove the cash from the lower side of the window,so i can see the outside environement
184,02.07.21 17:32,02.07.21 17:40,Complete,343,343_G1_2_Clear_q1,keep,G1,Exposure 2,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Just right,Comfortable,Noticeable,No,NA,Slightly,Slightly,Agree,Agree,8,NA,NA,NA
186,02.07.21 17:56,02.07.21 18:02,Complete,343,343_G1_2_Clear_q2,keep,G1,Exposure 2,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Just right,Comfortable,Noticeable,No,NA,Slightly,Slightly,Neither agree nor disagree,Agree,NA,"No, even though I am somewhat uncomfortable",NA,NA
181,02.07.21 16:49,02.07.21 16:57,Complete,344,344_G1_1_Clear_q1,keep,G1,Exposure 1,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Slightly high,Comfortable,Noticeable,No,NA,Not at all,Not at all,Agree,Agree,6,NA,NA,NA
183,02.07.21 17:20,02.07.21 17:30,Complete,344,344_G1_1_Clear_q2,keep,G1,Exposure 1,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Slightly high,Comfortable,Noticeable,No,NA,Slightly,Slightly,Neither agree nor disagree,Agree,NA,"No, I am comfortable and do not require changes",NA,NA
185,02.07.21 17:39,02.07.21 17:43,Complete,344,344_G1_2_Blurr_q1,keep,G1,Exposure 2,BP 2229 (center of the building),no,About 5 minutes,05min,Slightly high,Uncomfortable,Noticeable,Yes,Acceptable,Slightly,Slightly,Disagree,Disagree,4,NA,NA,NA
187,02.07.21 18:02,02.07.21 18:09,Complete,344,344_G1_2_Blurr_q2,keep,G1,Exposure 2,BP 2229 (center of the building),no,About 30 minutes,30min,Slightly high,Comfortable,Imperceptible,No,NA,Not at all,Not at all,Neither agree nor disagree,Disagree,NA,"No, even though I am somewhat uncomfortable",NA,NA
188,09.07.21 16:42,09.07.21 16:46,Complete,345,345_G1_1_Blurr_q1,keep,G1,Exposure 1,BP 2229 (center of the building),no,About 5 minutes,05min,Just right,Very comfortable,Noticeable,No,NA,Not at all,Not at all,Agree,Disagree,7,NA,NA,NA
190,09.07.21 17:07,09.07.21 17:15,Complete,345,345_G1_1_Blurr_q2,keep,G1,Exposure 1,BP 2229 (center of the building),no,About 30 minutes,30min,Just right,Comfortable,Noticeable,No,NA,Slightly,Not at all,Agree,Disagree,NA,"No, I am comfortable and do not require changes",NA,NA
192,09.07.21 17:30,09.07.21 17:34,Complete,345,345_G1_2_Clear_q1,keep,G1,Exposure 2,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Slightly high,Uncomfortable,Disturbing,Yes,Just acceptable,Moderately,Not at all,Disagree,Strongly agree,4,NA,NA,NA
194,09.07.21 17:50,09.07.21 17:58,Complete,345,345_G1_2_Clear_q2,keep,G1,Exposure 2,BP 2243 (end of the corridor),yes,About 30 minutes,30min,Slightly low,Uncomfortable,Disturbing,Yes,Just unacceptable,Moderately,Not at all,Disagree,Agree,NA,"Yes, I would like the following changes:",Having the window not facing a road,It makes me unfocus
189,09.07.21 14:51,09.07.21 16:51,Complete,346,346_G1_1_Clear_q1,keep,G1,Exposure 1,BP 2243 (end of the corridor),yes,About 5 minutes,05min,Slightly low,Uncomfortable,Disturbing,Yes,Acceptable,Moderately,Not at all,Disagree,Disagree,4,NA,NA,NA
191,09.07.21 17:13,09.07.21 17:23,Complete,346,346_G1_1_Clear_q2,keep,G1,Exposure 1,BP 2243 (end of the corridor),yes,About 30 minutes,30min,High,Uncomfortable,Disturbing,Yes,Just unacceptable,Very much,Not at all,Strongly disagree,Disagree,NA,"Yes, I would like the following changes:",I would like not to have the sun in my eyes,"Not to have the sun in my eyes, as well as the reflection of the sun on my desk"
193,09.07.21 17:19,09.07.21 17:36,Complete,346,346_G1_2_Blurr_q1,keep,G1,Exposure 2,BP 2229 (center of the building),no,About 5 minutes,05min,Just right,Uncomfortable,Disturbing,Yes,Just unacceptable,Moderately,Not at all,Disagree,Disagree,1,NA,NA,NA
